Nome do item,Origem / mídia da sessão,Sessões,Itens vistos,Itens adicionados ao carrinho,Itens comprados,Receita do item
VESTIDO TRANSPASSADO - CSI261600 (PRETO (Raven TC) (19-0000), G),google / cpc,223,14,0,0,0
VESTIDO RECORTES COM CINTO - CI261869 (MARROM (Rawhide TC (18-1137), G),edrone / email,220,0,0,0,0
BLUSA ALFAIATARIA - CV261454.1 (Bege Tapioca -Tapioca TC (12-1403), G),google / cpc,219,22,0,0,0
VESTIDO BALONE VELUDO - CI262044 (PRETO (Raven TC) (19-0000), G),edrone / email,218,0,0,0,0
CALÇA WIDE AMASSADA - CSI250597 (AZUL (Bijou Blue TC) (18-3921), G),google / organic,216,17,0,0,0
SAIA MIDI - CSI250630 (MARROM (Rooibos Tea TCX) (18-1355), G),facebook / cpc01_adv,215,5,0,0,0
VESTIDO COURO COM DETALHES DE RENDA - CI261923 (BEGE (Curds Whey) (16-0920), G),edrone / email,214,1,0,0,0
VESTIDO CURTO RETO - CI261945 (BEGE (Jet Stream) (11-0605), G),edrone / email,211,0,0,0,0
MACACÃO ALFAIATARIA - CV261468 (Marshmallow TC (11-4300), G),google / cpc,209,21,0,0,0
CALÇA ALFAIATARIA - CSI250607 (BEGE (Bleached Sand TC) (13-1008), G),edrone / email,207,14,0,0,0
SAIA MIDI - CSI250630 (MARROM (Rooibos Tea TCX) (18-1355), G),google / organic,204,5,0,0,0
SAIA (CV261340) - CV261336.2 (BRANCO (Bright White TC) (11-0601), G),facebook / cpc01_adv,203,203,0,0,0
BODY COM DECOTE - CI250812 (BRANCO (off white), G),edrone / email,202,10,0,0,0
CALÇA COM BOLSOS - CI250876 (LILAS (Lilas TC, G),google / cpc,201,47,0,0,0
VESTIDO TUBO - CI250782 (PRETO (Raven TC) (19-0000), G),facebook / cpc01_adv,200,114,0,0,0
CALÇA CÓS ELÁSTICO (CSV261037) - CSV261078.2 (BEGE (ICED COFFEE) (15-1040), G),google / cpc,199,110,0,0,0
MACACÃO BASIC - CSV261033 (VERMELHO FLAMEJANTE  (Fiery Red TC) (18-1664), G),google / cpc,199,55,0,0,0
VESTIDO FRANZIDOS - CAV261614 (AMARELO (Daffodil TC) (14-0850), G),facebook / cpc03_interesses_top/estados_all,195,186,0,0,0
SAIA TRICOLINE - CV261446.2 (Marshmallow TC (11-4300), M),google / cpc,191,61,0,0,0
REGATA CANELADA - CV261270 (BRANCO (Bright White TC) (11-0601), G),google / cpc,190,19,0,0,0
CALÇA DE ALFAIATARIA COM FAIXA - CSI250587 (BEGE (Straw TC), G),google / cpc,189,32,2,0,0
SAIA CARGO LONGA - CSI250616 (BEGE (Tan TC) (16-1334), G),edrone / email,189,10,0,0,0
VESTIDO MANGA LONGA CURTO - CI262059 (MARROM (Meerkat (16-1438), G),google / cpc,189,8,0,0,0
VESTIDO TUBO - CI250782 (PRETO (Raven TC) (19-0000), G),(direct) / (none),188,17,0,0,0
BODY COM DECOTE - CI250812 (BRANCO (off white), G),facebook / cpc03_interesses_top/estados_all,187,27,0,0,0
MACACÃO FLUIDO - CV261392 (BEGE MARAJÓ (Angora) (12-0605), G),google / cpc,187,39,0,0,0
CALÇA CARGO COM PÉROLAS - CI250926 (BEGE(Sandshell TC) (13-0907), G),google / cpc,185,26,0,0,0
